Time,Open,High,Low,Last,Change,Volume
03/29/17 13:00,20638.67,20668.67,20636.47,20667.81,28.69,21698910
03/29/17 12:00,20649.57,20662.61,20630.57,20639.12,-10.33,20209211
03/29/17 11:00,20666.12,20669.52,20625.03,20649.45,-17.42,28729167
03/29/17 10:00,20670.46,20676.21,20646.13,20666.87,-3.41,35370020
03/29/17 09:00,20675.75,20675.75,20639.29,20670.28,-31.22,29476037
03/28/17 17:00,20701.5,20701.5,20701.5,20701.5,0,8433439
03/28/17 16:00,20702.22,20702.22,20700.61,20701.5,0.01,34824419
03/28/17 15:00,20709.43,20730.7,20696.71,20701.49,-7.46,57505609
03/28/17 14:00,20709.71,20735.61,20701.82,20708.95,-0.55,33546942
03/28/17 13:00,20653.72,20712.51,20653.72,20709.5,55.55,30026036
03/28/17 12:00,20647.02,20656.54,20636.36,20653.95,7.01,25574536
03/28/17 11:00,20599.85,20653.98,20599.3,20646.94,46.92,34964273
03/28/17 10:00,20540.46,20600.7,20539.41,20600.02,65.51,36040272
03/28/17 09:00,20542.14,20561.89,20520.1,20534.51,-16.47,27824354
03/27/17 16:00,20550.57,20551.25,20550.46,20550.98,-0.41,40560416
03/27/17 15:00,20546.23,20571.45,20537.46,20551.39,5.06,47650417
